order_id,order_date,category,product,unit_price,quantity,region,payment_method
ORD-1001,2026-01-03,Electronics,Keyboard,199,1,East,Card
ORD-1002,2026-01-03,Books,Python Guide,89,2,North,Alipay
ORD-1003,2026-01-04,Home,Desk Lamp,129,1,South,WeChat
ORD-1004,2026-01-05,Electronics,Mouse,79,3,East,Alipay
ORD-1005,2026-01-05,Sports,Yoga Mat,159,2,West,Card
ORD-1006,2026-01-06,Books,Data Science Handbook,119,1,North,WeChat
ORD-1007,2026-01-07,Home,Storage Box,49,4,South,Alipay
ORD-1008,2026-01-07,Sports,Dumbbell Set,299,1,East,Card
ORD-1009,2026-01-08,Electronics,USB Hub,,2,West,WeChat
ORD-1010,2026-01-08,Books,Notebook,29,5,North,Alipay
ORD-1010,2026-01-08,Books,Notebook,29,5,North,Alipay
ORD-1011,2026-01-09,,Mystery Item,39,1,South,Card
ORD-1012,2026-01-10,Home,Office Chair,699,1,East,WeChat
ORD-1013,2026-01-10,Sports,Running Belt,89,2,West,Alipay
ORD-1014,2026-01-11,Electronics,Monitor,1299,1,North,Card
ORD-1015,2026-01-12,Books,SQL Basics,99,2,South,WeChat
ORD-1016,2026-01-12,Home,Coffee Table,599,1,East,Alipay
ORD-1017,2026-01-13,Sports,Jump Rope,59,3,West,Card
ORD-1018,2026-01-14,Electronics,Webcam,349,2,North,WeChat
ORD-1019,2026-01-14,Books,Algorithm Cards,69,2,South,Alipay
ORD-1020,2026-01-15,Home,Cushion,79,4,East,Card
